Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4903.2 at 16:34 24/3/2010  Report at 19:05 Wednesday 24/3/2010. Processed 19:26 Wednesday 24/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Ansell Ltd,ANN,12.63,12.37,11.87,,,,,,,,
ANZ Banking Grp,ANZ,25.72,25.11,23.14,,,,,,,,
ARB Corp,ARP,5.78,5.6,5.7,,,,,,,,
Astro Res NL opt nov12,AROOB,0.007,0.005,0.005,,,,,,,,
Azumah Res,AZM,0.335,0.26,0.26,,,,,,,,
Bunnings Warehouse unt,BWP,1.965,1.945,1.875,,,,,,,,
Burey Gold Ltd,BYR,0.059,0.055,0.048,,,,,,,,
Castle Min,CDT,0.43,0.38,0.35,,,,,,,,
Cochlear Ltd,COH,71.64,69.49,64.9,,,,,,,,
Doray Min Ltd,DRM,0.26,0.22,0.2,,,,,,,,
Exoma Energy Ltd opt sep12,EXEOA,0.175,0.125,0.085,,,,,,,,
Fairfax Media Ltd pref,FXJPB,92.1,91.501,89.3,,,,,,,,
Firstfolio Ltd,FFF,0.079,0.075,0.066,,,,,,,,
Flight Centre,FLT,21.16,21.05,20,,,,,,,,
Forge Grp Ltd,FGE,3.03,2.88,2.35,,,,,,,,
Glengarry Res,GGY,0.096,0.086,0.06,,,,,,,,
Groote Res Ltd,GOT,1.2,0.9,0.895,,,,,,,,
  opt jun10,GOTO,0.95,0.69,0.55,,,,,,,,
Halcygen Pharma,HGN,0.75,0.675,0.65,,,,,,,,
iShares Russell 2000  1:1,IRU,75.74,74.83,70.76,,,,,,,,
iShares S&P SCap 600  1:1,IJR,66.77,65.31,60.98,,,,,,,,
Magellan Fin Grp,MFG,1.025,1,0.91,,,,,,,,
Newport Min Ltd,NMN,0.41,0.4,0.25,,,,,,,,
Oklo Uranium Ltd,OKU,0.115,0.075,0.041,,,,,,,,
PharmAust Ltd,PAA,0.053,0.05,0.041,,,,,,,,
Rand Min NL,RND,0.44,0.4,0.39,,,,,,,,
REA Grp,REA,11.82,11.68,10.87,,,,,,,,
ResMed Inc cdi  10:1,RMD,6.92,6.81,6.55,,,,,,,,
SPDR 200 Fd etf unt,STW,46.55,46.24,44.42,,,,,,,,
Sphere Min Ltd,SPH,1.8,1.785,1.34,,,,,,,,
Taps Tr taps,TTXPA,101,100.25,99.749,,,,,,,,
Tribune Res NL,TBR,0.99,0.9,0.79,,,,,,,,
Venus Res opt jul11,VNSO,0.35,0.28,0.26,,,,,,,,
Village Roadshow,VRL,2.37,2.29,2.22,,,,,,,,
Vngd US Total Market  1:1,VTS,65.72,64.9,63.72,,,,,,,,
Westpac Banking,WBC,27.88,27.52,26.4,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Alliance Res,AGS,0.4,0.45,0.5,,,,,,,,
Antisense Therapeutic,ANP,0.027,0.045,0.049,,,,,,,,
Apac Coal,AAL,0.035,0.038,0.036,,,,,,,,
Aust Leaders opt nov10,ALFO,0.031,0.04,0.035,,,,,,,,
Cbio Ltd,CBZ,0.32,0.38,0.36,,,,,,,,
Contango Capital,CCQ,0.6,0.785,0.76,,,,,,,,
Energia Min Ltd,EMX,0.11,0.13,0.115,,,,,,,,
GBM Rsources Ltd opt jun10,GBZO,0.003,0.02,0.015,,,,,,,,
Heemskirk Cons,HSK,0.325,0.345,0.335,,,,,,,,
Hydrotech Inter,HTI,0.005,0.006,0.006,,,,,,,,
Icon Energy Ltd,ICN,0.175,0.22,0.215,,,,,,,,
Imugene Ltd,IMU,0.046,0.058,0.05,,,,,,,,
Innamincka Pet,INP,0.096,0.098,0.12,,,,,,,,
Papyrus Aust,PPY,0.28,0.32,0.39,,,,,,,,
Prana Biotech,PBT,0.12,0.13,0.135,,,,,,,,
Redflex Hldgs,RDF,1.5,1.51,1.88,,,,,,,,
Telecom Corp,TEL,1.63,1.635,1.695,,,,,,,,
