Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4472.4 at 16:37 4/6/2010  Report at 19:05 Friday 4/6/2010. Processed 19:22 Friday 4/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
1300 Smiles Ltd,ONT,3.07,3.05,3.05,,,,,,,,
Astra Capital Ltd,AKR,0.85,0.55,0.66,,,,,,,,
Aurora Oil & Gas,AUT,0.875,0.76,0.83,,,,,,,,
Austex Oil Ltd opt dec11,AOKO,0.038,0.034,0.034,,,,,,,,
Ecsi Ltd,ECS,0.019,0.018,0.018,,,,,,,,
Globe Sec,GTI,0.12,0.1,0.11,,,,,,,,
HGL Ltd,HNG,1.4,1.19,1.28,,,,,,,,
Imperial Corp Ltd def,IMPDA,0.105,-,0.09,,,,,,,,
ResMed Inc cdi,RMD,7.84,7.56,7.82,,,,,,,,
Seymour Whyte Ltd,SWL,1.11,-,1.1,,,,,,,,
Sihayo Gold Ltd,SIH,0.11,0.082,0.099,,,,,,,,
Silver Lake Resource,SLR,1.75,1.425,1.44,,,,,,,,
STW Comms,SGN,1.03,0.94,0.97,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Adelaide Energy,ADE,0.095,0.135,0.135,,,,,,,,
ADG Global Supply,ADQ,0.056,0.058,0.058,,,,,,,,
Admiralty Res,ADY,0.008,0.009,0.009,,,,,,,,
Advance Energy,AVD,0.015,0.025,0.025,,,,,,,,
Aeris Environmental,AEI,0.06,0.061,0.061,,,,,,,,
Allied Brands Ltd,ABQ,0.065,0.075,0.071,,,,,,,,
Argosy Min cdi,AGY,0.025,0.03,0.03,,,,,,,,
Atom Energy Ltd,AXY,0.037,0.042,0.038,,,,,,,,
Ausenco Ltd,AAX,1.96,2.34,2.16,,,,,,,,
Barra Res,BAR,0.063,0.065,0.065,,,,,,,,
Black Range Min,BLR,0.031,0.033,0.032,,,,,,,,
Calliden Grp,CIX,0.225,0.235,0.23,,,,,,,,
CI Res Ltd,CII,0.75,0.78,0.78,,,,,,,,
De Grey Min,DEG,0.024,0.029,0.027,,,,,,,,
Energy Metals Ltd,EME,0.46,0.51,0.485,,,,,,,,
Everest Financial,EFG,0.037,0.04,0.04,,,,,,,,
Excalibur Min,EXM,0.003,0.006,0.006,,,,,,,,
  opt dec12,EXMOA,0.001,0.003,0.002,,,,,,,,
Forte Energy NL,FTE,0.105,0.11,0.11,,,,,,,,
Frankland River,FLR,0.008,0.013,0.013,,,,,,,,
Hexima Ltd,HXL,0.27,0.285,0.275,,,,,,,,
IM Medical Ltd,IMI,0.001,0.002,0.002,,,,,,,,
Image Res NL,IMA,0.495,0.505,0.505,,,,,,,,
India Res,IRL,0.016,0.017,0.017,,,,,,,,
Intec Ltd,INL,0.003,0.004,0.004,,,,,,,,
iSOFT Group Ltd,ISF,0.325,0.545,0.465,,,,,,,,
Liberty Resource,LBY,0.051,0.06,0.06,,,,,,,,
Mariner Corp Ltd,MCX,0.003,0.004,0.004,,,,,,,,
Mithril Res opt sep11,MTHO,0.042,0.05,0.05,,,,,,,,
Neptune Marine,NMS,0.2,0.235,0.235,,,,,,,,
  opt dec10,NMSO,0.085,0.095,0.091,,,,,,,,
Nexbis Ltd,NBS,0.07,0.11,0.105,,,,,,,,
Nomad Bld,NOD,0.105,0.15,0.15,,,,,,,,
Panorama Synergy,PSY,0.1,0.15,0.15,,,,,,,,
Pro Medicus Ltd   ,PME,0.5,0.545,0.545,,,,,,,,
Rivercity Motorway stp,RCY,0.04,0.046,0.045,,,,,,,,
Rubianna Res Ltd,RRE,0.16,0.165,0.165,,,,,,,,
Stirling Products,STI,0.008,0.009,0.009,,,,,,,,
Stratatel Ltd,STE,0.044,0.045,0.045,,,,,,,,
Uranium Explore,UXA,0.035,0.037,0.037,,,,,,,,
